# Auto-generated hub list (IATA)
# Columns: IATA  # score  name/country/type
UPG  # 1112  Sultan Hasanuddin International Airport (ID) [large_airport]
YNT  # 1112  Yantai Penglai International Airport (CN) [large_airport]
LHE  # 1111  Allama Iqbal International Airport (PK) [large_airport]
DYU  # 1106  Dushanbe International Airport (TJ) [large_airport]
BKI  # 1104  Kota Kinabalu International Airport (MY) [large_airport]
CFU  # 1103  Corfu Ioannis Kapodistrias International Airport (GR) [large_airport]
ESB  # 1103  Esenboğa International Airport (TR) [large_airport]
RGN  # 1099  Yangon International Airport (MM) [large_airport]
XNN  # 1099  Xining Caojiabao International Airport (CN) [large_airport]
MED  # 1098  Prince Mohammad Bin Abdulaziz Airport (SA) [large_airport]
CEB  # 1097  Mactan Cebu International Airport (PH) [large_airport]
CNX  # 1095  Chiang Mai International Airport (TH) [large_airport]
WUX  # 1094  Sunan Shuofang International Airport (CN) [large_airport]
DWC  # 1092  Al Maktoum International Airport (AE) [large_airport]
KRR  # 1091  Krasnodar Pashkovsky International Airport (RU) [large_airport]
CHQ  # 1090  Chania International Airport (GR) [large_airport]
KGS  # 1090  Kos International Airport "Ippokratis" (GR) [large_airport]
EVN  # 1090  Zvartnots International Airport (AM) [large_airport]
KJA  # 1088  Krasnoyarsk International Airport (RU) [large_airport]
JJN  # 1088  Quanzhou Jinjiang International Airport (CN) [large_airport]
KTM  # 1086  Tribhuvan International Airport (NP) [large_airport]
MLE  # 1085  Velana International Airport (MV) [large_airport]
PFO  # 1085  Paphos International Airport (CY) [large_airport]
PEN  # 1084  Penang International Airport (MY) [large_airport]
ITM  # 1084  Osaka Itami International Airport (JP) [large_airport]
TRV  # 1084  Thiruvananthapuram International Airport (IN) [large_airport]
TSA  # 1080  Taipei Songshan International Airport (TW) [large_airport]
GMP  # 1078  Gimpo International Airport (KR) [large_airport]
IKT  # 1078  Irkutsk International Airport (RU) [large_airport]
SSH  # 1077  Sharm El Sheikh International Airport (EG) [large_airport]
SAH  # 1075  Sanaa International Airport (YE) [large_airport]
SYZ  # 1074  Shiraz Shahid Dastghaib International Airport (IR) [large_airport]
BPN  # 1072  Sultan Aji Muhammad Sulaiman Sepinggan International Airport (ID) [large_airport]
SWA  # 1071  Jieyang Chaoshan International Airport (CN) [large_airport]
TBS  # 1069  Tbilisi International Airport (GE) [large_airport]
DAD  # 1066  Da Nang International Airport (VN) [large_airport]
YKS  # 1066  Platon Oyunsky Yakutsk International Airport (RU) [large_airport]
LBD  # 1066  Khujand International Airport (TJ) [large_airport]
AMD  # 1064  Sardar Vallabh Patel International Airport (IN) [large_airport]
BJV  # 1063  Milas Bodrum International Airport (TR) [large_airport]
GAU  # 1063  Lokpriya Gopinath Bordoloi International Airport (IN) [large_airport]
SDJ  # 1062  Sendai Airport (JP) [large_airport]
CCJ  # 1061  Calicut International Airport (IN) [large_airport]
LXA  # 1060  Lhasa Gonggar International Airport (CN) [large_airport]
EBL  # 1060  Erbil International Airport (IQ) [large_airport]
PEW  # 1060  Bacha Khan International Airport (PK) [large_airport]
OSS  # 1060  Osh International Airport (KG) [large_airport]
JOG  # 1058  Adisutjipto International Airport (ID) [large_airport]
PNQ  # 1058  Pune International Airport (IN) [large_airport]
SZB  # 1058  Sultan Abdul Aziz Shah International Airport (MY) [large_airport]
RMQ  # 1058  Taichung International Airport / Ching Chuang Kang Air Base (TW) [large_airport]
BAV  # 1058  Baotou Donghe International Airport (CN) [large_airport]
YCU  # 1058  Yuncheng Yanhu International Airport (CN) [large_airport]
KZN  # 1056  Kazan International Airport (RU) [large_airport]
GOI  # 1054  Goa Dabolim International Airport (IN) [large_airport]
KBL  # 1054  Kabul International Airport (AF) [large_airport]
BTH  # 1054  Hang Nadim International Airport (ID) [large_airport]
KCH  # 1052  Kuching International Airport (MY) [large_airport]
VVO  # 1052  Vladivostok International Airport (RU) [large_airport]
TXN  # 1052  Huangshan Tunxi International Airport (CN) [large_airport]
DSN  # 1050  Ordos Ejin Horo International Airport (CN) [large_airport]
VTE  # 1048  Wattay International Airport (LA) [large_airport]
AWZ  # 1048  Qasem Soleimani International Airport (IR) [large_airport]
JHG  # 1048  Xishuangbanna Gasa International Airport (CN) [large_airport]
BWN  # 1046  Brunei International Airport (BN) [large_airport]
TJM  # 1045  Roshchino International Airport (RU) [large_airport]
