# Auto-generated hub list (IATA)
# Columns: IATA  # score  name/country/type
TRN  # 1086  Turin Airport (IT) [large_airport]
CAG  # 1086  Cagliari Elmas Airport (IT) [large_airport]
ZAG  # 1085  Zagreb Franjo Tuđman International Airport (HR) [large_airport]
ABZ  # 1082  Aberdeen International Airport (GB) [large_airport]
LIL  # 1080  Lille Airport (FR) [large_airport]
LEJ  # 1079  Leipzig/Halle Airport (DE) [large_airport]
VRN  # 1077  Verona Villafranca Valerio Catullo Airport (IT) [large_airport]
TLL  # 1076  Lennart Meri Tallinn Airport (EE) [large_airport]
TSF  # 1076  Treviso Airport (IT) [large_airport]
NRN  # 1076  Weeze (Niederrhein) Airport (DE) [large_airport]
TRF  # 1074  Sandefjord Airport, Torp (NO) [large_airport]
TIA  # 1072  Tirana International Airport Mother Teresa (AL) [large_airport]
BIA  # 1072  Bastia-Poretta International airport (FR) [large_airport]
BFS  # 1070  Belfast International Airport (GB) [large_airport]
SCQ  # 1070  Santiago-Rosalía de Castro Airport (ES) [large_airport]
SZG  # 1069  Salzburg Airport (AT) [large_airport]
SXB  # 1069  Strasbourg Airport (FR) [large_airport]
ORK  # 1068  Cork International Airport (IE) [large_airport]
DTM  # 1067  Dortmund Airport (DE) [large_airport]
LJU  # 1066  Ljubljana Jože Pučnik Airport (SI) [large_airport]
RTM  # 1066  Rotterdam The Hague Airport (NL) [large_airport]
WRO  # 1066  Copernicus Wrocław Airport (PL) [large_airport]
CWL  # 1063  Cardiff International Airport (GB) [large_airport]
NYO  # 1062  Stockholm Skavsta Airport (SE) [large_airport]
SNN  # 1058  Shannon Airport (IE) [large_airport]
KTW  # 1056  Katowice Wojciech Korfanty International Airport (PL) [large_airport]
ROV  # 1056  Platov International Airport (RU) [large_airport]
KUF  # 1054  Kurumoch International Airport (RU) [large_airport]
TOS  # 1052  Tromsø Airport (NO) [large_airport]
ZAD  # 1052  Zadar Airport (HR) [large_airport]
WMI  # 1052  Warsaw Modlin Airport (PL) [large_airport]
AER  # 1052  Sochi International Airport (RU) [large_airport]
SUF  # 1050  Lamezia Terme Sant'Eufemia International Airport (IT) [large_airport]
PDL  # 1047  João Paulo II Airport (PT) [large_airport]
FMM  # 1046  Memmingen Allgau Airport (DE) [large_airport]
SKP  # 1046  Skopje International Airport (MK) [large_airport]
UFA  # 1046  Ufa International Airport (RU) [large_airport]
DRS  # 1044  Dresden Airport (DE) [large_airport]
BDS  # 1044  Brindisi Airport (IT) [large_airport]
PIK  # 1042  Glasgow Prestwick Airport (GB) [large_airport]
POZ  # 1042  Poznań-Ławica Airport (PL) [large_airport]
CLJ  # 1042  Avram Iancu Cluj International Airport (RO) [large_airport]
