# Auto-generated hub list (IATA)
# Columns: IATA  # score  name/country/type
PLS  # 1062  Providenciales International Airport (TC) [large_airport]
ALB  # 1060  Albany International Airport (US) [large_airport]
ROC  # 1060  Frederick Douglass Greater Rochester International Airport (US) [large_airport]
KIN  # 1058  Norman Manley International Airport (JM) [large_airport]
PTP  # 1058  Maryse Condé International Airport (GP) [large_airport]
DSM  # 1057  Des Moines International Airport (US) [large_airport]
YQB  # 1057  Quebec Jean Lesage International Airport (CA) [large_airport]
RNO  # 1056  Reno Tahoe International Airport (US) [large_airport]
GRR  # 1056  Gerald R. Ford International Airport (US) [large_airport]
PVD  # 1055  Rhode Island T. F. Green International Airport (US) [large_airport]
TUL  # 1055  Tulsa International Airport (US) [large_airport]
BZE  # 1054  Philip S. W. Goldson International Airport (BZ) [large_airport]
SYR  # 1052  Syracuse Hancock International Airport (US) [large_airport]
PSP  # 1051  Palm Springs International Airport (US) [large_airport]
GSO  # 1051  Piedmont Triad International Airport (US) [large_airport]
GCM  # 1051  Owen Roberts International Airport (KY) [large_airport]
ONT  # 1050  Ontario International Airport (US) [large_airport]
PAP  # 1048  Toussaint Louverture International Airport (HT) [large_airport]
HMO  # 1048  General Ignacio L. Pesqueira International Airport (MX) [large_airport]
ELP  # 1047  El Paso International Airport (US) [large_airport]
SAV  # 1046  Savannah Hilton Head International Airport (US) [large_airport]
BGI  # 1046  Grantley Adams International Airport (BB) [large_airport]
FDF  # 1046  Martinique Aimé Césaire International Airport (MQ) [large_airport]
SAP  # 1046  Ramón Villeda Morales International Airport (HN) [large_airport]
LIR  # 1045  Daniel Oduber Quirós International Airport (CR) [large_airport]
YYT  # 1043  St. John's International Airport (CA) [large_airport]
PNS  # 1042  Pensacola International Airport (US) [large_airport]
BOI  # 1041  Boise Air Terminal/Gowen Field (US) [large_airport]
FAT  # 1040  Fresno Yosemite International Airport (US) [large_airport]
PMV  # 1039  Del Caribe Santiago Mariño International Airport (VE) [large_airport]
UVF  # 1037  Hewanorra International Airport (LC) [large_airport]
BUR  # 1036  Hollywood Burbank Airport (US) [large_airport]
LGB  # 1036  Long Beach International Airport (US) [large_airport]
CUU  # 1033  General Roberto Fierro Villalobos International Airport (MX) [large_airport]
CZM  # 1032  Cozumel International Airport (MX) [large_airport]
